gvkey,firm_name,patent_count,candidate_rank,candidate_cik,candidate_ticker,candidate_sec_name,candidate_exchange,candidate_method,candidate_score,ticker_hint
126554,AGILENTTECH,4421,2,0001013880,TTEC,"TTEC Holdings, Inc.",Nasdaq,fuzzy_name,0.9,
001608,AMP,4398,1,0000006176,AP,AMPCO PITTSBURGH CORP,NYSE,fuzzy_name,0.9,
001608,AMP,4398,2,0000820313,APH,AMPHENOL CORP /DE/,NYSE,fuzzy_name,0.9,
001608,AMP,4398,3,0001610940,BDRY,Amplify Commodity Trust,NYSE,fuzzy_name,0.9,
001608,AMP,4398,4,0001533924,AMPY,Amplify Energy Corp.,NYSE,fuzzy_name,0.9,
001608,AMP,4398,5,0001518461,AMPG,"AmpliTech Group, Inc.",Nasdaq,fuzzy_name,0.9,
100609,CONTINENTAL,4382,1,0000099614,TY,TRI-CONTINENTAL Corp,NYSE,fuzzy_name,0.95,
100609,CONTINENTAL,4382,2,0001571949,ICE,"Intercontinental Exchange, Inc.",NYSE,fuzzy_name,0.9,
100609,CONTINENTAL,4382,3,0000858446,IHG,INTERCONTINENTAL HOTELS GROUP PLC /NEW/,NYSE,fuzzy_name,0.9,
100609,CONTINENTAL,4382,4,0001858985,ONON,On Holding AG,NYSE,fuzzy_name,0.9,
100609,CONTINENTAL,4382,5,0000733590,TCI,TRANSCONTINENTAL REALTY INVESTORS INC,NYSE,fuzzy_name,0.9,
061214,ASML,4330,1,0000937966,ASML,ASML HOLDING NV,Nasdaq,exact_normalized_name,1.0,
184725,NXP,4312,1,0001413447,NXPI,NXP Semiconductors N.V.,Nasdaq,fuzzy_name,0.9,
184725,NXP,4312,2,0001787425,XP,XP Inc.,Nasdaq,fuzzy_name,0.9,
101310,NOVARTIS,4124,1,0001114448,NVS,NOVARTIS AG,NYSE,exact_normalized_name,1.0,
101310,NOVARTIS,4124,2,0001021860,NOV,NOV Inc.,NYSE,fuzzy_name,0.9,
101310,NOVARTIS,4124,3,0001109345,NVMI,NOVA LTD.,Nasdaq,fuzzy_name,0.9,
009267,SHELLOIL,4097,1,0001610601,MOMO,Hello Group Inc.,Nasdaq,fuzzy_name,0.9,
009267,SHELLOIL,4097,2,0001306965,SHEL,Shell plc,NYSE,fuzzy_name,0.9,
242977,AUOPTRONICS,4077,1,0001681206,NODK,"NI Holdings, Inc.",Nasdaq,fuzzy_name,0.9,
242977,AUOPTRONICS,4077,2,0001858985,ONON,On Holding AG,NYSE,fuzzy_name,0.9,
242977,AUOPTRONICS,4077,3,0001956744,TRON,Tron Inc.,Nasdaq,fuzzy_name,0.9,
005860,ITTMFGENTPR,3977,1,0002004385,FGO,FG Holdings Ltd,,fuzzy_name,0.9,
005860,ITTMFGENTPR,3977,2,0000216228,ITT,ITT INC.,NYSE,fuzzy_name,0.9,
010519,TEXTRON,3848,1,0000217346,TXT,TEXTRON INC,NYSE,exact_normalized_name,1.0,
010519,TEXTRON,3848,2,0001858985,ONON,On Holding AG,NYSE,fuzzy_name,0.9,
010519,TEXTRON,3848,3,0001956744,TRON,Tron Inc.,Nasdaq,fuzzy_name,0.9,
001632,ANALOGDEVICES,3830,1,0000006281,ADI,ANALOG DEVICES INC,Nasdaq,exact_compact_name,0.985,
001632,ANALOGDEVICES,3830,2,0001848739,GDEV,GDEV Inc.,Nasdaq,fuzzy_name,0.9,
002255,BLACKANDDECKER,3812,1,0001809587,BEKE,KE Holdings Inc.,NYSE,fuzzy_name,0.9,
117768,NVIDIA,3722,1,0001045810,NVDA,NVIDIA CORP,Nasdaq,exact_normalized_name,1.0,
005492,HARRIS,3705,1,0001984014,BLMZF,Harrison Global Holdings Inc.,OTC,fuzzy_name,0.9,
005492,HARRIS,3705,2,0001812286,VCRDX,Harrison Street Infrastructure Income Fund,,fuzzy_name,0.9,
005492,HARRIS,3705,3,0000202058,LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/",NYSE,fuzzy_name,0.9,
017828,DAIMLERCHRYSLER,3669,1,0001067318,MBGAF,DAIMLER AG,OTC,fuzzy_name,0.9,
002991,CHEVRONHK,3624,1,0001858985,ONON,On Holding AG,NYSE,fuzzy_name,0.9,
002991,CHEVRONHK,3624,2,0000093410,CVX,CHEVRON CORP,NYSE,fuzzy_name,0.875,
006730,ELILILLY,3573,1,0000059478,LLY,ELI LILLY & Co,NYSE,exact_compact_name,0.985,
002403,BRISTOLMYERSSQUIBB,3518,1,0000014272,BMY,BRISTOL MYERS SQUIBB CO,NYSE,exact_compact_name,0.985,
121718,JUNIPERNETWORKS,3446,1,0001681206,NODK,"NI Holdings, Inc.",Nasdaq,fuzzy_name,0.9,
121718,JUNIPERNETWORKS,3446,2,0001966233,NIPG,NIP Group Inc.,Nasdaq,fuzzy_name,0.9,
006494,KOMATSU,3443,1,0001969863,SUGP,SU Group Holdings Ltd,Nasdaq,fuzzy_name,0.9,
157858,FREESCALESEMICONDUCTOR,3297,1,0001806905,ALEH,ALE Group Holding Ltd,,fuzzy_name,0.9,
157858,FREESCALESEMICONDUCTOR,3297,2,0001060955,ICLR,ICON PLC,Nasdaq,fuzzy_name,0.9,
002322,BORGWARNER,3250,1,0000908255,BWA,BORGWARNER INC,NYSE,exact_normalized_name,1.0,
008214,OWENSCORNING,3212,1,0001370946,OC,Owens Corning,NYSE,exact_compact_name,0.985,
008214,OWENSCORNING,3212,2,0001681206,NODK,"NI Holdings, Inc.",Nasdaq,fuzzy_name,0.9,
006565,LAMRESEARCH,3196,1,0000707549,LRCX,LAM RESEARCH CORP,Nasdaq,exact_compact_name,0.985,
006565,LAMRESEARCH,3196,2,0001703399,SE,Sea Ltd,NYSE,fuzzy_name,0.9,
006565,LAMRESEARCH,3196,3,0001680062,ACMR,"ACM Research, Inc.",Nasdaq,fuzzy_name,0.8695652173913043,
007908,NIPPONTELEGRAPHANDTELEPHONE,3192,1,0000769594,NTTYY,NIPPON TELEGRAPH & TELEPHONE CORP,OTC,fuzzy_name,0.9056603773584907,
012215,CYPRESSSEMICONDUCTOR,3120,1,0001060955,ICLR,ICON PLC,Nasdaq,fuzzy_name,0.9,
006081,NAVISTARINT,3011,1,0000104918,AVA,AVISTA CORP,NYSE,fuzzy_name,0.9,
006081,NAVISTARINT,3011,2,0001953366,STHO,Star Holdings,Nasdaq,fuzzy_name,0.9,
102523,VALEO,2993,1,0001806905,ALEH,ALE Group Holding Ltd,,fuzzy_name,0.9,
101204,SANOFI,2902,1,0001121404,SNY,Sanofi,Nasdaq,exact_normalized_name,1.0,
005589,HERCULES,2854,1,0001364479,HRI,HERC HOLDINGS INC,NYSE,fuzzy_name,0.9,
005589,HERCULES,2854,2,0001280784,HTGC,"Hercules Capital, Inc.",NYSE,fuzzy_name,0.9,
011115,VARIANMEDICALSYS,2837,1,0002022097,MEDG,MEDI Group Ltd,,fuzzy_name,0.9,
004961,VERIZONPATENT,2831,1,0001858985,ONON,On Holding AG,NYSE,fuzzy_name,0.9,
004961,VERIZONPATENT,2831,2,0002030954,XHLD,"TEN Holdings, Inc.",Nasdaq,fuzzy_name,0.9,
002444,BRUNSWICK,2771,1,0000014930,BC,BRUNSWICK CORP,NYSE,exact_normalized_name,1.0,
002086,BAXTER,2770,1,0001051627,AXTI,AXT INC,Nasdaq,fuzzy_name,0.9,
002086,BAXTER,2770,2,0000010456,BAX,BAXTER INTERNATIONAL INC,NYSE,fuzzy_name,0.9,
004940,GAF,2661,1,0001389207,GFASY,Gafisa S.A.,OTC,fuzzy_name,0.9,
004321,EMERSONELEC,2634,1,0001858985,ONON,On Holding AG,NYSE,fuzzy_name,0.9,
003650,CUMMINS,2580,1,0000026172,CMI,CUMMINS INC,NYSE,exact_normalized_name,1.0,
010846,CONOPCO,2504,1,0001858985,ONON,On Holding AG,NYSE,fuzzy_name,0.9,
010391,TEKTRONIX,2487,1,0000892450,KT,KT CORP,NYSE,fuzzy_name,0.9,
010391,TEKTRONIX,2487,2,0001681206,NODK,"NI Holdings, Inc.",Nasdaq,fuzzy_name,0.9,
010391,TEKTRONIX,2487,3,0001858985,ONON,On Holding AG,NYSE,fuzzy_name,0.9,
010391,TEKTRONIX,2487,4,0001956744,TRON,Tron Inc.,Nasdaq,fuzzy_name,0.9,
002827,CELANESE,2484,1,0001306830,CE,Celanese Corp,NYSE,exact_normalized_name,1.0,
