iso2c,year,patent_count,benchmark_score_mean,empirical_driven_share,public_funded_share,science_reference_share_mean,ln_forward_citation_10y_plus1_mean,citing_cpc4_count_10y_mean,opens_new_cpc_field_share,years_ahead_cpc_mean
IT,1989,176,0.18573558302201576,0.29545454545454547,0.0,,0.0,0.0,0.0,0.0
DE,1993,1926,0.19041014392568661,0.2866043613707165,0.0,,0.0,0.0,0.0,0.0
DK,1988,6,0.24347686270248092,0.5,0.0,,0.0,0.0,0.0,0.0
DK,1993,53,0.15435737109604256,0.24528301886792453,0.0,,0.0,0.0,0.0,0.0
CZ,1990,1,0.0438902871997945,0.0,0.0,,0.0,0.0,0.0,0.0
LU,1993,2,0.44376786255522765,0.5,0.0,,0.0,0.0,0.0,0.0
SS,1989,39,0.3189486660675651,0.41025641025641024,0.0,,0.0,0.0,0.0,0.0
JP,1979,3146,0.2847947736834636,0.39923712650985377,0.0,,0.0,0.0,0.0,0.0
NL,1980,41,0.19998431513314857,0.2926829268292683,0.0,,0.0,0.0,0.0,0.0
CH,1978,167,0.2593158352125632,0.38922155688622756,0.0,,0.0,0.0,0.0,0.0
US,1972,734,0.18630140655612593,0.2670299727520436,0.014986376021798364,,0.0,0.0,0.0,0.0
JP,1975,114,0.3093331954658103,0.4649122807017544,0.0,,0.0,0.0,0.0,0.0
NO,1979,7,0.35857187301310534,0.7142857142857143,0.0,,0.0,0.0,0.0,0.0
GB,1974,16,0.044594590627571505,0.0625,0.0,,0.0,0.0,0.0,0.0
IT,1976,39,0.2274750609969655,0.28205128205128205,0.0,,0.0,0.0,0.0,0.0
AU,1980,4,0.17566251062601432,0.25,0.0,,0.0,0.0,0.0,0.0
CA,1981,89,0.2612552618038635,0.38202247191011235,0.0,,0.0,0.0,0.0,0.0
NL,1977,51,0.17479006140754008,0.39215686274509803,0.0,,0.0,0.0,0.0,0.0
MX,1981,2,0.01835920210392259,0.0,0.0,,0.0,0.0,0.0,0.0
IL,1980,4,0.7520840259158393,0.75,0.0,,0.0,0.0,0.0,0.0
US,1956,7,0.008181237259125061,0.0,0.0,,0.0,0.0,0.0,0.0
IT,1982,95,0.2620822238834119,0.4421052631578947,0.0,,0.0,0.0,0.0,0.0
BE,1982,9,0.04726211142209588,0.1111111111111111,0.0,,0.0,0.0,0.0,0.0
SS,1982,27,0.3033349568590911,0.4444444444444444,0.0,,0.0,0.0,0.0,0.0
US,2011,65683,0.17059570843321162,0.22479180305406268,0.016564407837644443,,0.0,0.0,0.0,0.0
US,2013,80618,0.17148219867948702,0.22491255054702425,0.013545362077947853,,0.0,0.0,0.0,0.0
BE,2009,112,0.10275460378689229,0.13392857142857142,0.017857142857142856,,0.0,0.0,0.0,0.0
DK,2001,97,0.1666321578390966,0.23711340206185566,0.020618556701030927,,0.0,0.0,0.0,0.0
IN,2011,124,0.09391043055685212,0.0967741935483871,0.0,,0.0,0.0,0.0,0.0
GB,2008,538,0.18141306637010224,0.22862453531598512,0.0037174721189591076,,0.0,0.0,0.0,0.0
IT,2005,388,0.12025504592291973,0.17268041237113402,0.0,,0.0,0.0,0.0,0.0
CH,2006,912,0.19765353913062592,0.26206140350877194,0.0021929824561403508,,0.0,0.0,0.0,0.0
KR,2004,832,0.11353931463356098,0.16947115384615385,0.0,,0.0,0.0,0.0,0.0
DE,2001,4785,0.16842324088962782,0.22946708463949844,0.0,,0.0,0.0,0.0,0.0
NL,2012,1712,0.33562018726250087,0.4141355140186916,0.0035046728971962616,,0.0,0.0,0.0,0.0
IE,1999,6,0.00543941268752111,0.0,0.0,,0.0,0.0,0.0,0.0
DE,2003,4228,0.1543644654692744,0.20600756859035005,0.0004730368968779565,,0.0,0.0,0.0,0.0
CN,2008,215,0.11268900872353545,0.16744186046511628,0.0,,0.0,0.0,0.0,0.0
IE,2006,78,0.16828026323323467,0.24358974358974358,0.0,,0.0,0.0,0.0,0.0
NL,2002,2084,0.24861159900297844,0.31525911708253357,0.0,,0.0,0.0,0.0,0.0
GB,2007,558,0.16600827150977038,0.21863799283154123,0.0,,0.0,0.0,0.0,0.0
CN,2007,143,0.16630669612404064,0.23776223776223776,0.0,,0.0,0.0,0.0,0.0
IL,2012,488,0.12471760499098115,0.1721311475409836,0.0,,0.0,0.0,0.0,0.0
LU,2001,10,0.15576386688103216,0.3,0.0,,0.0,0.0,0.0,0.0
BB,2004,55,0.10594311910606993,0.16363636363636364,0.0,,0.0,0.0,0.0,0.0
NO,2004,51,0.27594739038613625,0.3333333333333333,0.0,,0.0,0.0,0.0,0.0
MT,2009,5,0.017475635713098174,0.0,0.0,,0.0,0.0,0.0,0.0
ES,2011,29,0.12611985835278663,0.20689655172413793,0.0,,0.0,0.0,0.0,0.0
DE,2017,2876,0.2738899486296913,0.3372739916550765,0.002086230876216968,,0.0,0.0,0.0,0.0
KY,2013,967,0.07731762525095028,0.09720785935884178,0.007238883143743537,,0.0,0.0,0.0,0.0
FR,2013,1461,0.1291186093053855,0.1971252566735113,0.0034223134839151265,,0.0,0.0,0.0,0.0
AU,2012,151,0.20683516546789735,0.2847682119205298,0.006622516556291391,,0.0,0.0,0.0,0.0
SK,2008,1,0.04739360148907423,0.0,0.0,,0.0,0.0,0.0,0.0
SG,2000,151,0.08629091848908196,0.10596026490066225,0.0,,0.0,0.0,0.0,0.0
BE,2005,105,0.13342781128306078,0.18095238095238095,0.0,,0.0,0.0,0.0,0.0
CH,1999,379,0.17409750104816724,0.24538258575197888,0.0,,0.0,0.0,0.0,0.0
CM,2012,12,0.016990673314988956,0.0,0.0,,0.0,0.0,0.0,0.0
BM,2002,102,0.17983454533340734,0.20588235294117646,0.0,,0.0,0.0,0.0,0.0
AU,2002,106,0.19207479854889872,0.3018867924528302,0.0,,0.0,0.0,0.0,0.0
NZ,2000,43,0.005366893894441351,0.0,0.0,,0.0,0.0,0.0,0.0
AT,2003,31,0.22405012813836037,0.2903225806451613,0.0,,0.0,0.0,0.0,0.0
CH,2000,443,0.16535815565686268,0.21218961625282168,0.002257336343115124,,0.0,0.0,0.0,0.0
JP,1996,15169,0.2149799262098526,0.29382292834069484,0.0,,0.0,0.0,0.0,0.0
DK,2003,91,0.12735403200017434,0.17582417582417584,0.0,,0.0,0.0,0.0,0.0
IT,1994,180,0.06606000379525513,0.09444444444444444,0.0,,0.0,0.0,0.0,0.0
NZ,1999,32,0.03928126570297869,0.0625,0.0,,0.0,0.0,0.0,0.0
ZA,2004,3,0.10923919171560122,0.3333333333333333,0.0,,0.0,0.0,0.0,0.0
IE,2000,10,0.04583227936863875,0.2,0.0,,0.0,0.0,0.0,0.0
BB,2015,221,0.1462136760001694,0.22171945701357465,0.013574660633484163,,0.0,0.0,0.0,0.0
SG,1999,164,0.12457075442336794,0.15853658536585366,0.0,,0.0,0.0,0.0,0.0
MT,2005,1,0.02204883814518599,0.0,0.0,,0.0,0.0,0.0,0.0
KP,2007,3,0.09091511594485162,0.3333333333333333,0.0,,0.0,0.0,0.0,0.0
NO,2014,27,0.26611139231215647,0.3333333333333333,0.0,,0.0,0.0,0.0,0.0
BB,2014,329,0.13389227769225895,0.16717325227963525,0.0,,0.0,0.0,0.0,0.0
ES,2013,47,0.15547823513696116,0.23404255319148937,0.0,,0.0,0.0,0.0,0.0
GI,2014,6,0.2925763464951114,0.5,0.0,,0.0,0.0,0.0,0.0
BE,2016,155,0.178907894283817,0.23225806451612904,0.01935483870967742,,0.0,0.0,0.0,0.0
BR,2011,43,0.15420545061534333,0.3023255813953488,0.0,,0.0,0.0,0.0,0.0
NO,2015,35,0.19608859376520446,0.2857142857142857,0.0,,0.0,0.0,0.0,0.0
DK,2017,86,0.22737912938433594,0.2558139534883721,0.0,,0.0,0.0,0.0,0.0
IT,2016,335,0.1999060248119277,0.23582089552238805,0.0,,0.0,0.0,0.0,0.0
IL,2019,166,0.2327147224484137,0.29518072289156627,0.0,,0.0,0.0,0.0,0.0
CA,2018,673,0.23202690399571102,0.2867756315007429,0.0014858841010401188,,0.0,0.0,0.0,0.0
LU,2003,11,0.053688000326662905,0.18181818181818182,0.0,,0.0,0.0,0.0,0.0
CH,1995,195,0.26552090546366,0.37948717948717947,0.005128205128205128,,0.0,0.0,0.0,0.0
AR,2008,1,0.005299398696630001,0.0,0.0,,0.0,0.0,0.0,0.0
BE,1976,1,0.008679754744822014,0.0,0.0,,0.0,0.0,0.0,0.0
LU,2017,77,0.35771125918922003,0.45454545454545453,0.0,,0.0,0.0,0.0,0.0
AT,2017,154,0.10246279314583731,0.11038961038961038,0.0,,0.0,0.0,0.0,0.0
NL,2019,347,0.24841228819552216,0.3227665706051873,0.0,,0.0,0.0,0.0,0.0
AU,2019,36,0.2175967194410424,0.3055555555555556,0.0,,0.0,0.0,0.0,0.0
HU,2017,1,0.16151458144865183,1.0,0.0,,0.0,0.0,0.0,0.0
MT,2016,7,0.6530308140653123,0.7142857142857143,0.0,,0.0,0.0,0.0,0.0
BM,2019,28,0.07787033644463744,0.07142857142857142,0.0,,0.0,0.0,0.0,0.0
CZ,2019,6,0.3212950672346027,0.5,0.0,,0.0,0.0,0.0,0.0
MX,2018,2,0.4650369124150038,0.5,0.0,,0.0,0.0,0.0,0.0
MC,2015,4,0.2359364722929029,0.25,0.0,,0.0,0.0,0.0,0.0
PE,2019,1,0.0013033685209285285,0.0,0.0,,0.0,0.0,0.0,0.0
IN,2013,95,0.06512931650633799,0.08421052631578947,0.0,,0.0,0.0,0.0,0.0
RU,2005,3,0.014576423649201713,0.0,0.0,,0.0,0.0,0.0,0.0
JE,2007,1,0.6561426909593042,1.0,0.0,,0.0,0.0,0.0,0.0
CA,1997,919,0.14055345554517992,0.18498367791077258,0.007616974972796518,,0.0,0.0,0.0,0.0
IT,1998,289,0.11696319612428065,0.1522491349480969,0.0,,0.0,0.0,0.0,0.0
BE,1998,30,0.0746588462388831,0.1,0.0,,0.0,0.0,0.0,0.0
MX,1997,1,0.5239156499609986,1.0,0.0,,0.0,0.0,0.0,0.0
NO,1996,23,0.15106708139335023,0.21739130434782608,0.0,,0.0,0.0,0.0,0.0
KR,1996,27,0.22837988225583783,0.3333333333333333,0.0,,0.0,0.0,0.0,0.0
HR,1997,1,0.2571792011718214,1.0,0.0,,0.0,0.0,0.0,0.0
RU,1998,2,0.009201377043513946,0.0,0.0,,0.0,0.0,0.0,0.0
CA,1983,92,0.24125259904305035,0.358695652173913,0.0,,0.0,0.0,0.0,0.0
KY,2020,212,0.17017220452525597,0.2028301886792453,0.0,,0.0,0.0,0.0,0.0
RU,2016,2,0.04500831149411992,0.0,0.0,,0.0,0.0,0.0,0.0
US,2020,1336,0.15017738379898196,0.18637724550898205,0.0037425149700598802,,0.0,0.0,0.0,0.0
SS,1976,12,0.3750970115617354,0.6666666666666666,0.0,,0.0,0.0,0.0,0.0
NL,1984,48,0.23618396713496592,0.3333333333333333,0.0,,0.0,0.0,0.0,0.0
AU,1984,13,0.40230174465297774,0.46153846153846156,0.0,,0.0,0.0,0.0,0.0
LT,2015,3,0.0037452966536274915,0.0,0.0,,0.0,0.0,0.0,0.0
SE,2020,10,0.20332767034048388,0.2,0.0,,0.0,0.0,0.0,0.0
FR,2020,6,0.05605938031326813,0.16666666666666666,0.0,,0.0,0.0,0.0,0.0
MC,2014,9,0.10918585767096761,0.1111111111111111,0.0,,0.0,0.0,0.0,0.0
PH,2019,2,0.07844589507222223,0.5,0.0,,0.0,0.0,0.0,0.0
IN,2020,1,0.03714640897215482,0.0,0.0,,0.0,0.0,0.0,0.0
CM,2019,1,0.001303150936452973,0.0,0.0,,0.0,0.0,0.0,0.0
AE,2013,9,0.04193917254161185,0.1111111111111111,0.0,,0.0,0.0,0.0,0.0
TT,1979,1,0.005960885682013428,0.0,0.0,,0.0,0.0,0.0,0.0
PA,1979,2,0.04587832578323128,0.0,0.0,,0.0,0.0,0.0,0.0
ZA,1975,4,0.267363966513324,0.25,0.0,,0.0,0.0,0.0,0.0
RU,2009,1,0.004914746552927666,0.0,0.0,,0.0,0.0,0.0,0.0
MX,2010,6,0.003761337713172868,0.0,0.0,,0.0,0.0,0.0,0.0
KP,2008,3,0.003529366060616911,0.0,0.0,,0.0,0.0,0.0,0.0
CZ,2012,3,0.2959322689126998,0.3333333333333333,0.0,,0.0,0.0,0.0,0.0
SG,1995,15,0.10298215939069148,0.13333333333333333,0.0,,0.0,0.0,0.0,0.0
VG,2013,2,0.5957398251049416,1.0,0.0,,0.0,0.0,0.0,0.0
VG,2011,3,0.12804778483279955,0.3333333333333333,0.0,,0.0,0.0,0.0,0.0
EG,2016,3,0.09006574325399608,0.3333333333333333,0.0,,0.0,0.0,0.0,0.0
BN,2012,4,0.2269382936847613,0.25,0.0,,0.0,0.0,0.0,0.0
IL,1984,21,0.38702811481845845,0.6190476190476191,0.0,,0.0,0.0,0.0,0.0
ZA,1985,2,0.4966651572271931,0.5,0.0,,0.0,0.0,0.0,0.0
NO,1985,7,0.05545858142847831,0.14285714285714285,0.0,,0.0,0.0,0.0,0.0
IL,1986,14,0.43221345417617163,0.5714285714285714,0.0,,0.0,0.0,0.0,0.0
NZ,2006,3,0.30634296642852143,0.3333333333333333,0.0,,0.0,0.0,0.0,0.0
SA,2015,2,0.5088559096190474,0.5,0.0,,0.0,0.0,0.0,0.0
IM,2014,1,0.023682291817026226,0.0,0.0,,0.0,0.0,0.0,0.0
LT,2014,4,0.12880704338077506,0.25,0.0,,0.0,0.0,0.0,0.0
SA,2014,5,0.6012144529354083,0.8,0.0,,0.0,0.0,0.0,0.0
AT,2001,23,0.18208220523457286,0.2608695652173913,0.0,,0.0,0.0,0.0,0.0
MW,2002,1,0.010249172678243473,0.0,0.0,,0.0,0.0,0.0,0.0
CM,2002,7,0.09207448441326714,0.14285714285714285,0.0,,0.0,0.0,0.0,0.0
JO,1999,1,0.17661739365595147,1.0,0.0,,0.0,0.0,0.0,0.0
BZ,2008,1,0.0221018727454652,0.0,0.0,,0.0,0.0,0.0,0.0
MX,1983,1,0.4168192872355983,1.0,0.0,,0.0,0.0,0.0,0.0
CY,2011,1,0.020067196916168508,0.0,0.0,,0.0,0.0,0.0,0.0
EE,2014,1,0.00481743497326733,0.0,0.0,,0.0,0.0,0.0,0.0
SI,2013,1,0.13917775244323813,0.0,0.0,,0.0,0.0,0.0,0.0
HU,2003,1,0.006159561831165511,0.0,0.0,,0.0,0.0,0.0,0.0
HU,2001,1,0.006159561831165511,0.0,0.0,,0.0,0.0,0.0,0.0
SS,1994,18,0.34776335641287015,0.4444444444444444,0.0,,0.0,0.0,0.0,0.0
BE,1994,24,0.16337709253587038,0.25,0.0,,0.0,0.0,0.0,0.0
AG,1995,1,0.0061026593381575,0.0,0.0,,0.0,0.0,0.0,0.0
MA,2008,1,0.003863708106408063,0.0,0.0,,0.0,0.0,0.0,0.0
PH,2002,1,0.9983054232865285,1.0,0.0,,0.0,0.0,0.0,0.0
PH,1984,3,0.50068192775688,0.6666666666666666,0.0,,0.0,0.0,0.0,0.0
IE,1995,1,0.01505956685320244,0.0,0.0,,0.0,0.0,0.0,0.0
NL,1986,96,0.21142079267183445,0.2916666666666667,0.0,,0.0,0.0,0.0,0.0
AU,1986,17,0.25254289609863045,0.5294117647058824,0.0,,0.0,0.0,0.0,0.0
CH,1987,100,0.33036996232939136,0.42,0.0,,0.0,0.0,0.0,0.0
AT,1988,5,0.020180379554542632,0.0,0.0,,0.0,0.0,0.0,0.0
NZ,1987,1,0.9902432497864598,1.0,0.0,,0.0,0.0,0.0,0.0
IE,1987,2,0.004301161437933045,0.0,0.0,,0.0,0.0,0.0,0.0
BE,1989,5,0.022094744328266504,0.0,0.0,,0.0,0.0,0.0,0.0
FR,1972,19,0.18935198482652746,0.3157894736842105,0.0,,0.0,0.0,0.0,0.0
LK,2011,1,0.0029723441434279293,0.0,0.0,,0.0,0.0,0.0,0.0
GI,2004,1,0.0019672241962539676,0.0,0.0,,0.0,0.0,0.0,0.0
AE,2011,3,0.02637960533299794,0.0,0.0,,0.0,0.0,0.0,0.0
SK,2007,1,0.000744872531311096,0.0,0.0,,0.0,0.0,0.0,0.0
PA,2015,1,0.12853355365543928,0.0,0.0,,0.0,0.0,0.0,0.0
IL,1977,9,0.2678244286941416,0.4444444444444444,0.0,,0.0,0.0,0.0,0.0
ZA,1996,2,0.6625022721932585,1.0,0.0,,0.0,0.0,0.0,0.0
NZ,1995,2,0.47955539514531786,0.5,0.0,,0.0,0.0,0.0,0.0
TD,1997,1,0.8146879543488549,1.0,0.0,,0.0,0.0,0.0,0.0
PH,1986,1,0.06473877213303879,0.0,0.0,,0.0,0.0,0.0,0.0
BM,1990,5,0.00248982475553337,0.0,0.0,,0.0,0.0,0.0,0.0
AU,1990,15,0.2179110473320298,0.26666666666666666,0.0,,0.0,0.0,0.0,0.0
PA,2014,1,0.1424921999627746,0.0,0.0,,0.0,0.0,0.0,0.0
BG,2008,1,0.0030409378925206508,0.0,0.0,,0.0,0.0,0.0,0.0
BA,1994,1,0.9682343357478073,1.0,0.0,,0.0,0.0,0.0,0.0
AT,1993,1,0.11793544415582995,0.0,0.0,,0.0,0.0,0.0,0.0
EE,2015,1,0.127488117308258,0.0,0.0,,0.0,0.0,0.0,0.0
ID,1989,1,0.5493332546856109,1.0,0.0,,0.0,0.0,0.0,0.0
MX,1991,2,0.03519106795727318,0.0,0.0,,0.0,0.0,0.0,0.0
PH,2012,1,0.0020467693105213685,0.0,0.0,,0.0,0.0,0.0,0.0
PA,1975,10,0.07113835533942209,0.1,0.0,,0.0,0.0,0.0,0.0
IT,1973,1,0.22077132467783592,1.0,0.0,,0.0,0.0,0.0,0.0
FI,1974,2,0.5198490945957174,0.5,0.0,,0.0,0.0,0.0,0.0
NO,1975,2,0.522925189163543,1.0,0.0,,0.0,0.0,0.0,0.0
US,1951,2,0.010436213327349262,0.0,0.0,,0.0,0.0,0.0,0.0
AU,1977,13,0.38251293724480157,0.5384615384615384,0.0,,0.0,0.0,0.0,0.0
DE,1971,6,0.1903680319719464,0.16666666666666666,0.0,,0.0,0.0,0.0,0.0
US,1953,1,0.005195119687980479,0.0,0.0,,0.0,0.0,0.0,0.0
SS,1992,31,0.28722376652523435,0.41935483870967744,0.0,,0.0,0.0,0.0,0.0
DE,1990,2001,0.1822356471065741,0.26686656671664166,0.0,,0.0,0.0,0.0,0.0
IT,1992,106,0.2568810250833699,0.3113207547169811,0.0,,0.0,0.0,0.0,0.0
IT,1991,110,0.21411241022387564,0.2909090909090909,0.0,,0.0,0.0,0.0,0.0
SS,1991,27,0.16927983014912648,0.2962962962962963,0.0,,0.0,0.0,0.0,0.0
DK,1990,31,0.14673278712544968,0.1935483870967742,0.0,,0.0,0.0,0.0,0.0
US,1985,18400,0.21715693996448499,0.30668478260869564,0.015271739130434782,,0.0,0.0,0.0,0.0
CA,2009,916,0.15662901731410225,0.21724890829694324,0.004366812227074236,,0.0,0.0,0.0,0.0
CH,2008,883,0.17728501435149394,0.23669309173272934,0.0033975084937712344,,0.0,0.0,0.0,0.0
IT,2010,300,0.22895019665375566,0.30333333333333334,0.0,,0.0,0.0,0.0,0.0
KR,2011,739,0.14894767692548963,0.2165087956698241,0.0,,0.0,0.0,0.0,0.0
GB,2006,518,0.16362731025788865,0.21428571428571427,0.005791505791505791,,0.0,0.0,0.0,0.0
SG,2008,299,0.22185316390937374,0.2842809364548495,0.0,,0.0,0.0,0.0,0.0
FI,2006,770,0.09215258625689667,0.11038961038961038,0.0,,0.0,0.0,0.0,0.0
SG,2007,245,0.1191632586089752,0.15918367346938775,0.0,,0.0,0.0,0.0,0.0
KR,2013,826,0.1487353276976186,0.211864406779661,0.0,,0.0,0.0,0.0,0.0
FR,2014,1528,0.13727219880244315,0.19306282722513088,0.0013089005235602095,,0.0,0.0,0.0,0.0
FR,2015,1214,0.17562988626366427,0.24794069192751236,0.0016474464579901153,,0.0,0.0,0.0,0.0
SE,2014,1972,0.10763031297552611,0.14198782961460446,0.0,,0.0,0.0,0.0,0.0
SE,2015,1822,0.10314729872648577,0.13666300768386389,0.0005488474204171241,,0.0,0.0,0.0,0.0
CA,1989,205,0.23749948579264005,0.32682926829268294,0.0,,0.0,0.0,0.0,0.0
BE,1992,15,0.2255377788663406,0.3333333333333333,0.0,,0.0,0.0,0.0,0.0
NL,1988,122,0.1731871141310083,0.26229508196721313,0.0,,0.0,0.0,0.0,0.0
BE,1991,7,0.11462574072315615,0.2857142857142857,0.0,,0.0,0.0,0.0,0.0
GB,1987,480,0.16049919191073667,0.21666666666666667,0.0,,0.0,0.0,0.0,0.0
US,1975,19572,0.22504720616781726,0.3309319435928878,0.01170038830983037,,0.0,0.0,0.0,0.0
US,1979,18081,0.2205831429700102,0.31923013107682097,0.013328908799292074,,0.0,0.0,0.0,0.0
IL,1993,39,0.3768363690523606,0.4358974358974359,0.0,,0.0,0.0,0.0,0.0
AU,1988,22,0.15804480358021097,0.22727272727272727,0.0,,0.0,0.0,0.0,0.0
NL,1993,192,0.20489521879594164,0.2916666666666667,0.0,,0.0,0.0,0.0,0.0
US,1964,42,0.16333783217479383,0.23809523809523808,0.047619047619047616,,0.0,0.0,0.0,0.0
DE,1980,1634,0.21404249656145816,0.3188494492044064,0.0,,0.0,0.0,0.0,0.0
SE,1979,145,0.2544047605989166,0.3448275862068966,0.0,,0.0,0.0,0.0,0.0
DE,1977,1465,0.2103345401812868,0.3030716723549488,0.0,,0.0,0.0,0.0,0.0
FR,1979,340,0.20720540359053274,0.3176470588235294,0.0,,0.0,0.0,0.0,0.0
GB,1978,358,0.15254186410749945,0.22625698324022347,0.0,,0.0,0.0,0.0,0.0
BR,1979,3,0.0513953681884026,0.0,0.0,,0.0,0.0,0.0,0.0
JP,1972,5,0.2548959628162109,0.4,0.0,,0.0,0.0,0.0,0.0
CA,1976,126,0.21808646818822666,0.3253968253968254,0.0,,0.0,0.0,0.0,0.0
US,1965,33,0.1448755547852518,0.21212121212121213,0.030303030303030304,,0.0,0.0,0.0,0.0
IT,1981,75,0.3295134937826606,0.4666666666666667,0.0,,0.0,0.0,0.0,0.0
US,1962,22,0.15257202627930344,0.22727272727272727,0.09090909090909091,,0.0,0.0,0.0,0.0
BE,1981,9,0.0038918299967924874,0.0,0.0,,0.0,0.0,0.0,0.0
ES,1979,1,0.01444656890538219,0.0,0.0,,0.0,0.0,0.0,0.0
SS,1981,13,0.41934439096121534,0.46153846153846156,0.0,,0.0,0.0,0.0,0.0
AT,1980,1,0.0046426027839260664,0.0,0.0,,0.0,0.0,0.0,0.0
LU,1980,1,0.0044315176729132965,0.0,0.0,,0.0,0.0,0.0,0.0
CA,1982,117,0.2546748079314965,0.42735042735042733,0.0,,0.0,0.0,0.0,0.0
FR,1975,305,0.1081511393452645,0.16721311475409836,0.0,,0.0,0.0,0.0,0.0
SS,1983,32,0.3043872081396689,0.40625,0.0,,0.0,0.0,0.0,0.0
IT,1983,77,0.25050822895771474,0.37662337662337664,0.0,,0.0,0.0,0.0,0.0
US,2014,79978,0.1791241186795643,0.23405186426267224,0.013516216959663908,,0.0,0.0,0.0,0.0
US,2004,57310,0.16422510234803148,0.21751875763392078,0.015424882219507939,,0.0,0.0,0.0,0.0
JP,2011,23912,0.2207356849175953,0.2957929073268652,4.182000669120107e-05,,0.0,0.0,0.0,0.0
US,1996,39329,0.19792600969273272,0.26888555518828344,0.014798240484121133,,0.0,0.0,0.0,0.0
FI,1995,231,0.17354354950965853,0.24242424242424243,0.004329004329004329,,0.0,0.0,0.0,0.0
FI,1999,808,0.09562967491444387,0.12252475247524752,0.0024752475247524753,,0.0,0.0,0.0,0.0
CH,2007,813,0.2048876448158788,0.27060270602706027,0.0,,0.0,0.0,0.0,0.0
CN,2006,170,0.15159768881488356,0.2411764705882353,0.0,,0.0,0.0,0.0,0.0
TW,2006,1234,0.09518164025706193,0.13047001620745544,0.0,,0.0,0.0,0.0,0.0
FR,2004,1559,0.1017550318789432,0.14239897370109045,0.0006414368184733803,,0.0,0.0,0.0,0.0
DE,2012,4680,0.20217332413491879,0.25833333333333336,0.0010683760683760685,,0.0,0.0,0.0,0.0
CA,2005,707,0.17701251970980184,0.26166902404526166,0.0014144271570014145,,0.0,0.0,0.0,0.0
BB,2011,174,0.1292469119746851,0.16666666666666666,0.0,,0.0,0.0,0.0,0.0
IE,2008,73,0.22957534522770423,0.3013698630136986,0.0,,0.0,0.0,0.0,0.0
SE,2004,887,0.13235309429886266,0.17361894024802707,0.0,,0.0,0.0,0.0,0.0
NL,2003,1895,0.24927493060265785,0.3245382585751979,0.0010554089709762533,,0.0,0.0,0.0,0.0
DE,2002,4995,0.1684289164631228,0.22122122122122123,0.0006006006006006006,,0.0,0.0,0.0,0.0
IE,2007,89,0.1616300218876725,0.25842696629213485,0.0,,0.0,0.0,0.0,0.0
LU,2012,82,0.18955944472917563,0.2926829268292683,0.0,,0.0,0.0,0.0,0.0
NL,2001,2188,0.24355456643734816,0.30987202925045704,0.0,,0.0,0.0,0.0,0.0
IL,2001,227,0.16844069369326078,0.19383259911894274,0.0,,0.0,0.0,0.0,0.0
BE,2010,175,0.12493523400283678,0.16,0.0,,0.0,0.0,0.0,0.0
