Country,year_from_timeframe,n_measures
SLOVAKIA,2013,1
SLOVAKIA,2014,2
SLOVAKIA,2015,1
SLOVAKIA,2017,1
SLOVAKIA,2018,1
SLOVENIA,1995,1
SLOVENIA,2004,1
SLOVENIA,2005,2
SLOVENIA,2006,2
SLOVENIA,2011,1
SLOVENIA,2012,1
SLOVENIA,2014,2
SLOVENIA,2015,2
SLOVENIA,2017,1
SLOVENIA,2018,1
SOUTH AFRICA,1978,1
SOUTH AFRICA,2000,1
SOUTH AFRICA,2002,6
SOUTH AFRICA,2004,1
SOUTH AFRICA,2006,1
SOUTH AFRICA,2011,2
SOUTH AFRICA,2014,6
SOUTH AFRICA,2015,3
SOUTH AFRICA,2016,1
SOUTH AFRICA,2017,1
SOUTH AFRICA,2018,5
SPAIN,1998,1
SPAIN,2000,1
SPAIN,2002,1
SPAIN,2005,1
SPAIN,2006,1
SPAIN,2008,1
SPAIN,2011,1
SPAIN,2013,3
SPAIN,2014,3
SPAIN,2015,3
SPAIN,2017,1
SPAIN,2018,1
SWEDEN,1960,1
SWEDEN,1998,1
SWEDEN,1999,1
SWEDEN,2002,1
SWEDEN,2005,1
SWEDEN,2009,1
SWEDEN,2014,3
SWEDEN,2015,1
SWEDEN,2017,2
SWEDEN,2018,1
SWITZERLAND,1995,1
SWITZERLAND,2002,1
SWITZERLAND,2007,2
SWITZERLAND,2008,1
SWITZERLAND,2009,2
SWITZERLAND,2010,1
SWITZERLAND,2011,1
SWITZERLAND,2014,3
SWITZERLAND,2017,2
SWITZERLAND,2018,3
TAIWAN,1929,1
TAIWAN,1996,1
TAIWAN,1997,1
TAIWAN,1999,1
TAIWAN,2000,1
TAIWAN,2006,1
TAIWAN,2012,4
TAIWAN,2013,2
TAIWAN,2014,7
TAIWAN,2015,8
TAIWAN,2017,1
TAIWAN,2018,3
THAILAND,1925,1
THAILAND,1968,1
THAILAND,1979,1
THAILAND,1994,1
THAILAND,1999,2
THAILAND,2001,1
THAILAND,2005,1
THAILAND,2006,2
THAILAND,2007,2
THAILAND,2009,2
THAILAND,2010,1
THAILAND,2011,3
THAILAND,2013,1
THAILAND,2014,2
THAILAND,2015,5
THAILAND,2017,2
THAILAND,2018,5
TURKEY,1996,1
TURKEY,2000,1
TURKEY,2003,4
TURKEY,2004,1
TURKEY,2005,1
TURKEY,2007,1
TURKEY,2008,2
TURKEY,2012,3
TURKEY,2013,2
TURKEY,2014,4
TURKEY,2015,13
TURKEY,2016,7
TURKEY,2017,2
TURKEY,2018,3
UNITED KINGDOM,2001,2
UNITED KINGDOM,2002,2
UNITED KINGDOM,2006,1
UNITED KINGDOM,2010,1
UNITED KINGDOM,2012,2
UNITED KINGDOM,2014,2
UNITED KINGDOM,2015,4
UNITED KINGDOM,2016,2
UNITED KINGDOM,2017,3
UNITED KINGDOM,2018,1
UNITED STATES,1914,1
UNITED STATES,1933,1
UNITED STATES,1934,1
UNITED STATES,1961,1
UNITED STATES,1976,1
UNITED STATES,1978,1
UNITED STATES,1992,1
UNITED STATES,1998,1
UNITED STATES,1999,4
UNITED STATES,2008,2
UNITED STATES,2009,1
UNITED STATES,2011,1
UNITED STATES,2012,2
UNITED STATES,2013,3
UNITED STATES,2014,3
UNITED STATES,2015,2
UNITED STATES,2016,2
UNITED STATES,2017,2
UNITED STATES,2018,5
VIETNAM,2004,1
VIETNAM,2005,2
VIETNAM,2006,1
VIETNAM,2007,2
VIETNAM,2008,8
VIETNAM,2009,2
VIETNAM,2010,1
VIETNAM,2011,3
VIETNAM,2012,3
VIETNAM,2013,18
VIETNAM,2014,1
VIETNAM,2016,3
VIETNAM,2017,3
VIETNAM,2018,1
VIETNAM,2019,7
