iso2c,electronic_transactions_code,electronic_transactions_status,consumer_protection_code,consumer_protection_status,privacy_and_data_protection_code,privacy_and_data_protection_status,cybercrime_code,cybercrime_status,indirect_taxation_code,indirect_taxation_status,source_date_text
MR,1,legislation,0,no_data,1,legislation,1,legislation,3,no_legislation,17/02/2026
MT,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
MU,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
MV,1,legislation,3,no_legislation,2,draft_legislation,1,legislation,3,no_legislation,17/02/2026
MW,1,legislation,3,no_legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
MX,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
MY,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
MZ,1,legislation,1,legislation,3,no_legislation,1,legislation,3,no_legislation,17/02/2026
NA,1,legislation,3,no_legislation,2,draft_legislation,2,draft_legislation,3,no_legislation,17/02/2026
NE,1,legislation,3,no_legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
NG,1,legislation,3,no_legislation,1,legislation,1,legislation,1,legislation,17/02/2026
NI,1,legislation,3,no_legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
NL,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
NO,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
NP,1,legislation,2,draft_legislation,1,legislation,1,legislation,1,legislation,17/02/2026
NR,3,no_legislation,3,no_legislation,3,no_legislation,1,legislation,3,no_legislation,17/02/2026
NZ,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
OM,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
PA,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
PE,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
PG,1,legislation,3,no_legislation,3,no_legislation,1,legislation,3,no_legislation,17/02/2026
PH,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
PK,1,legislation,3,no_legislation,2,draft_legislation,1,legislation,1,legislation,17/02/2026
PL,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
PS,1,legislation,3,no_legislation,3,no_legislation,3,no_legislation,3,no_legislation,17/02/2026
PT,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
PW,3,no_legislation,3,no_legislation,3,no_legislation,1,legislation,1,legislation,17/02/2026
PY,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
QA,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
RO,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
RS,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
RU,1,legislation,3,no_legislation,1,legislation,1,legislation,1,legislation,17/02/2026
RW,1,legislation,3,no_legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
SA,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
SB,1,legislation,3,no_legislation,3,no_legislation,3,no_legislation,3,no_legislation,17/02/2026
SC,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
SD,1,legislation,3,no_legislation,3,no_legislation,1,legislation,3,no_legislation,17/02/2026
SE,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
SG,1,legislation,3,no_legislation,1,legislation,1,legislation,1,legislation,17/02/2026
SI,1,legislation,3,no_legislation,1,legislation,1,legislation,1,legislation,17/02/2026
SK,1,legislation,3,no_legislation,1,legislation,1,legislation,1,legislation,17/02/2026
SL,1,legislation,3,no_legislation,3,no_legislation,1,legislation,1,legislation,17/02/2026
SM,1,legislation,0,no_data,1,legislation,1,legislation,3,no_legislation,17/02/2026
SN,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
SO,3,no_legislation,3,no_legislation,1,legislation,3,no_legislation,3,no_legislation,17/02/2026
SR,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
SS,3,no_legislation,3,no_legislation,3,no_legislation,1,legislation,3,no_legislation,17/02/2026
ST,3,no_legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
SV,1,legislation,1,legislation,2,draft_legislation,1,legislation,3,no_legislation,17/02/2026
SY,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
SZ,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
TD,1,legislation,0,no_data,1,legislation,1,legislation,3,no_legislation,17/02/2026
TG,1,legislation,0,no_data,1,legislation,1,legislation,3,no_legislation,17/02/2026
TH,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
TJ,1,legislation,0,no_data,1,legislation,1,legislation,1,legislation,17/02/2026
TL,1,legislation,1,legislation,3,no_legislation,1,legislation,3,no_legislation,17/02/2026
TM,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
TN,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
TO,1,legislation,0,no_data,3,no_legislation,1,legislation,3,no_legislation,17/02/2026
TR,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
TT,1,legislation,0,no_data,1,legislation,1,legislation,3,no_legislation,17/02/2026
TV,3,no_legislation,3,no_legislation,3,no_legislation,3,no_legislation,3,no_legislation,17/02/2026
TZ,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
UA,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
UG,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
US,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
UY,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
UZ,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
VA,0,no_data,0,no_data,0,no_data,0,no_data,3,no_legislation,17/02/2026
VC,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
VE,1,legislation,0,no_data,3,no_legislation,1,legislation,3,no_legislation,17/02/2026
VN,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
VU,1,legislation,0,no_data,3,no_legislation,1,legislation,3,no_legislation,17/02/2026
WS,1,legislation,3,no_legislation,3,no_legislation,1,legislation,3,no_legislation,17/02/2026
YE,1,legislation,1,legislation,1,legislation,3,no_legislation,3,no_legislation,17/02/2026
ZA,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
ZM,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
ZW,2,draft_legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
